"id","categoria","prueba","resultado","detalle"
"4.1","4. Llaves y constantes","directorio + secuencia_p + orden identifica una unica persona","OK","viviendas: 10,403; hogares: 10,567; duplicados: 0"
"4.2","4. Llaves y constantes","clase = 1 (urbano), dominio = BOGOTA y depto = 11 son constantes","OK","no sirven como controles: no varian en la muestra"
"4.3","4. Llaves y constantes","directorio esta ordenado de forma creciente a lo largo de los bloques","OK","los bloques siguen el orden de la encuesta (vivienda y mes)"
"4.4","4. Llaves y constantes","Los factores de expansion son positivos y sin faltantes","OK","fex_c: min 106.61, max 808.24; suma (poblacion expandida): 8,164,164"
"5.1","5. Codificaciones","Todas las variables codificadas toman solo valores admisibles","OK","31 variables revisadas"
"5.2","5. Codificaciones","Codigo 9 ('N/A' / 'no sabe') en variables ordinales (informativo)","OK","aparece en: p6210; en las demas la fuente ya lo dejo como NA. Tratarlo como NA, no como categoria"
"5.3","5. Codificaciones","age es entera y esta entre 0 y 110","OK","min 0, max 106"
"5.4","5. Codificaciones","totalHoursWorked (cuando existe) esta entre 1 y 168","OK","min 1, max 130; > 126 horas (18 al dia): 3"
"6.1","6. Diccionario y etiquetas","Toda variable del diccionario (nombre completo) existe en la base","OK","164 nombres exactos verificados"
"6.2","6. Diccionario y etiquetas","Cada nombre truncado del diccionario (con '~') corresponde a una unica variable","OK","13 truncados; sin resolver: "
"6.3","6. Diccionario y etiquetas","Toda variable de la base esta documentada en el diccionario","OK",""
"6.4.p6210","6. Diccionario y etiquetas","p6210: todos los valores observados tienen etiqueta en labels.html","OK","7 valores observados de 7 etiquetados"
"6.4.maxEducLevel","6. Diccionario y etiquetas","maxEducLevel: todos los valores observados tienen etiqueta en labels.html","OK","7 valores observados de 8 etiquetados"
"6.4.regSalud","6. Diccionario y etiquetas","regSalud: todos los valores observados tienen etiqueta en labels.html","OK","3 valores observados de 4 etiquetados"
"6.4.cotPension","6. Diccionario y etiquetas","cotPension: todos los valores observados tienen etiqueta en labels.html","OK","3 valores observados de 4 etiquetados"
"6.4.sizeFirm","6. Diccionario y etiquetas","sizeFirm: todos los valores observados tienen etiqueta en labels.html","OK","5 valores observados de 5 etiquetados"
"6.4.oficio","6. Diccionario y etiquetas","oficio: todos los valores observados tienen etiqueta en labels.html","OK","80 valores observados de 82 etiquetados"
"6.4.relab","6. Diccionario y etiquetas","relab: todos los valores observados tienen etiqueta en labels.html","OK","9 valores observados de 9 etiquetados"
"7.1","7. Consistencia de variables construidas","pea = 1 exactamente cuando ocu = 1 o dsi = 1","OK",""
"7.2","7. Consistencia de variables construidas","ocu + dsi + inac = wap (ocupado, desocupado e inactivo particionan la PET)","OK",""
"7.3","7. Consistencia de variables construidas","pet (1/NA) coincide con wap (1/0) e ina (1/NA) con inac (1/0)","OK",""
"7.4","7. Consistencia de variables construidas","relab, oficio, horas, sizeFirm, formal... existen exactamente para ocu = 1","OK","ocupados: 16,682"
"7.5","7. Consistencia de variables construidas","cuentaPropia = 1 exactamente cuando relab = 4","OK",""
"7.6","7. Consistencia de variables construidas","sizeFirm recodifica p6870 (1; 2-3; 4; 5-7; 8-9)","OK","diferencias: 0"
"7.7","7. Consistencia de variables construidas","microEmpresa = 1 exactamente cuando sizeFirm es 1 o 2","OK",""
"7.8","7. Consistencia de variables construidas","cotPension es identica a p6920","OK",""
"7.9","7. Consistencia de variables construidas","regSalud es p6100 con el codigo 9 convertido a NA","OK",""
"7.10","7. Consistencia de variables construidas","formal + informal = 1 para todo ocupado","OK",""
"7.11","7. Consistencia de variables construidas","maxEducLevel es coherente con p6210 (3 -> primaria incompleta/completa)","OK","incoherencias: 0"
"7.12","7. Consistencia de variables construidas","college = 1 corresponde a educacion terciaria (maxEducLevel = 7), como dice el diccionario","ADVERTENCIA","coincide con terciaria en 45% de las filas; coincide con maxEducLevel = 6 (media / secundaria completa) en 100%. Si no es 100% terciaria, NO usar college: construir la dummy desde maxEducLevel == 7 o p6210 == 6"
"7.13","7. Consistencia de variables construidas","y_total_m = y_ingLab_m + y_gananciaIndep_m (NA solo si ambos faltan)","OK","diferencias: 0"
"7.14","7. Consistencia de variables construidas","Nadie tiene a la vez ingreso asalariado e ingreso independiente","OK","con y_ingLab_m: 9,964; con y_gananciaIndep_m: 4,904"
"7.15","7. Consistencia de variables construidas","y_total_m existe solo para ocupados y nunca vale cero","OK","ocupados sin y_total_m: 1,814; ceros: 0"
"7.16","7. Consistencia de variables construidas","y_ingLab_m >= y_salary_m y ambos faltan a la vez","OK",""
"7.17","7. Consistencia de variables construidas","y_salary_m = p6500, con los ceros de p6500 convertidos a NA","OK","p6500 = 0: 664 (los 'ingresos cero' del enunciado estan aqui, no en y_total_m)"
"7.18","7. Consistencia de variables construidas","y_gananciaNeta_m = p6750 / p6760 (ganancia mensualizada) y = y_gananciaIndep_m","OK",""
"7.19","7. Consistencia de variables construidas","y_total_m_ha = y_total_m / (totalHoursWorked x 30/7)","OK","el ingreso por hora usa horas de la semana pasada y un mes de 30 dias"
"7.20","7. Consistencia de variables construidas","y_salary_m_hu = y_salary_m / (hoursWorkUsual x 30/7)","OK",""
"7.21","7. Consistencia de variables construidas","y_ingLab_m_ha = y_ingLab_m / (totalHoursWorked x 30/7)","OK",""
"7.22","7. Consistencia de variables construidas","impa (DANE, primera actividad) frente a y_total_m (informativo)","OK","coinciden en 96.3% de las filas con y_total_m; impa = 0 en 1,562 filas"
"8.1","8. Panorama de la muestra (informativo)","Tamanos de muestra candidatos","OK","ocupados: 16,682; ocupados 18+: 16,542; ocupados 18+ con y_total_m: 14,764; ocupados 18+ sin y_total_m: 1,778"
"8.2","8. Panorama de la muestra (informativo)","Ocupados 18+ sin y_total_m, por relab","OK","1=585; 2=61; 3=15; 4=715; 5=153; 6=207; 7=41; 9=1"
"8.3","8. Panorama de la muestra (informativo)","Distribucion de y_total_m en ocupados 18+ (pesos de 2018)","OK","0%: 84; 1%: 75,000; 5%: 200,000; 25%: 800,000; 50%: 992,745; 75%: 1,554,042; 95%: 4,875,000; 99%: 11,555,763; 100%: 70,000,000"
"8.4","8. Panorama de la muestra (informativo)","Ingresos bajos frente al salario minimo 2018 (781.242)","OK","< 1/2 SMMLV: 1,310; < 100.000: 206; >= 50 millones: 4"
"8.5","8. Panorama de la muestra (informativo)","Categorias de relab con menos de 30 ocupados 18+ con ingreso","ADVERTENCIA","1=8757; 2=571; 3=563; 4=4391; 5=473; 8=1; 9=8 | raras: 8, 9 (cuidado con factores y LOOCV por leverage)"
"8.6","8. Panorama de la muestra (informativo)","Faltantes en predictores candidatos dentro de la muestra base (informativo)","ADVERTENCIA","maxEducLevel: 0 / 1; regSalud: 885 / 359"
"9.1","9. Comparabilidad entrenamiento / validacion","Los bloques siguen el calendario: cada bloque cubre 2-3 meses consecutivos","ADVERTENCIA","meses por bloque: 1=2; 2=2; 3=2; 4=2; 5=2; 6=3; 7=2; 8=2; 9=2; 10=2. Entrenamiento ~ enero-septiembre; validacion ~ septiembre-diciembre. La particion NO es aleatoria: parte del error de validacion puede ser estacional"
"9.2","9. Comparabilidad entrenamiento / validacion","Casi ninguna vivienda aparece en ambas particiones (solo cortes en la frontera)","OK","viviendas en ambas: 1; hogares repartidos entre bloques: 5"
"9.3","9. Comparabilidad entrenamiento / validacion","Medias de log(y), edad, sexo y horas son similares entre particiones","OK","dif. media log(y): 0.016; n entrenamiento: 10,263; n validacion: 4,501"
"9.4.relab","9. Comparabilidad entrenamiento / validacion","relab: todo nivel de validacion existe en entrenamiento (predict() con factores)","OK","7 niveles en entrenamiento"
"9.4.oficio","9. Comparabilidad entrenamiento / validacion","oficio: todo nivel de validacion existe en entrenamiento (predict() con factores)","ADVERTENCIA","solo en validacion: 20, 78"
"9.4.sizeFirm","9. Comparabilidad entrenamiento / validacion","sizeFirm: todo nivel de validacion existe en entrenamiento (predict() con factores)","OK","5 niveles en entrenamiento"
"9.4.maxEducLevel","9. Comparabilidad entrenamiento / validacion","maxEducLevel: todo nivel de validacion existe en entrenamiento (predict() con factores)","OK","6 niveles en entrenamiento"
"9.4.estrato1","9. Comparabilidad entrenamiento / validacion","estrato1: todo nivel de validacion existe en entrenamiento (predict() con factores)","OK","6 niveles en entrenamiento"
"10.1","10. Copia tipada","La copia tipada conserva filas y columnas y no crea NA adicionales","OK","guardada en: C:/Users/sebas/OneDrive - Universidad de los Andes/202602 - BigData/Taller 1/PS1_GEIH2018/datos/intermedios/geih2018_tipado.rds"
